任务类型,店铺名,站点,状态,记录时间
获取侵权信息,钱程似锦2,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-23 15:17:22
获取侵权信息,钱程似锦2,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-23 15:17:22
获取侵权信息,钱程似锦2,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-23 15:17:22
获取侵权信息,龙争虎斗,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在关闭中，请稍后操作'}",2026-08-23 15:17:30
获取侵权信息,张健3,墨西哥,失败：登录失效,2026-08-23 15:03:39
获取侵权信息,张健3,巴西,失败：登录失效,2026-08-23 15:03:39
获取侵权信息,张健3,阿根廷,失败：登录失效,2026-08-23 15:03:39
获取侵权信息,高人一等,墨西哥,失败：登录失效,2026-08-23 15:04:17
获取侵权信息,高人一等,巴西,失败：登录失效,2026-08-23 15:04:17
获取侵权信息,高人一等,阿根廷,失败：登录失效,2026-08-23 15:04:17
获取侵权信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-23 15:05:43
获取侵权信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-23 15:05:43
