任务类型,店铺名,站点,状态,记录时间
获取声誉辅助信息,健步如飞,阿根廷,失败：页面结构不匹配,2026-09-01 18:36:34
获取声誉辅助信息,向知屿13,阿根廷,失败：登录失效,2026-09-01 18:40:40
获取声誉辅助信息,向知屿13,巴西,失败：登录失效,2026-09-01 18:40:42
获取声誉辅助信息,向知屿13,墨西哥,失败：登录失效,2026-09-01 18:40:42
获取声誉辅助信息,八方来财,阿根廷,失败：页面结构不匹配,2026-09-01 18:37:26
获取声誉辅助信息,八方来财,巴西,失败：页面结构不匹配,2026-09-01 18:39:40
获取声誉辅助信息,八方来财,墨西哥,失败：页面结构不匹配,2026-09-01 18:41:53
获取声誉辅助信息,功成名就fti,阿根廷,失败：页面结构不匹配,2026-09-01 18:37:56
获取声誉辅助信息,vngbjkk,巴西,失败：页面结构不匹配,2026-09-01 18:37:12
获取声誉辅助信息,一跃千里,墨西哥,失败：页面结构不匹配,2026-09-01 18:39:26
获取声誉辅助信息,健步如飞1,阿根廷,失败：登录失效,2026-09-01 18:34:44
获取声誉辅助信息,健步如飞1,巴西,失败：登录失效,2026-09-01 18:34:46
获取声誉辅助信息,健步如飞1,墨西哥,失败：登录失效,2026-09-01 18:34:46
获取声誉辅助信息,五福临门,阿根廷,失败：页面结构不匹配,2026-09-01 18:36:38
获取声誉辅助信息,五福临门,墨西哥,失败：站点切换失败,2026-09-01 18:37:52
获取声誉辅助信息,大展宏图,巴西,失败：页面结构不匹配,2026-09-01 18:44:40
获取声誉辅助信息,大展宏图,墨西哥,失败：页面结构不匹配,2026-09-01 18:46:26
获取声誉辅助信息,健步如飞2,阿根廷,失败：站点切换失败,2026-09-01 18:38:58
获取声誉辅助信息,健步如飞2,巴西,失败：站点切换失败,2026-09-01 18:42:57
获取声誉辅助信息,健步如飞2,墨西哥,失败：站点切换失败,2026-09-01 18:46:51
获取声誉辅助信息,招财猫,阿根廷,失败：登录失效,2026-09-01 18:48:32
获取声誉辅助信息,招财猫,巴西,失败：登录失效,2026-09-01 18:48:34
获取声誉辅助信息,招财猫,墨西哥,失败：登录失效,2026-09-01 18:48:34
获取声誉辅助信息,向华章1,阿根廷,失败：站点切换失败,2026-09-01 18:41:25
获取声誉辅助信息,向华章1,巴西,失败：站点切换失败,2026-09-01 18:45:18
获取声誉辅助信息,向华章1,墨西哥,失败：站点切换失败,2026-09-01 18:49:10
获取声誉辅助信息,向华章3,阿根廷,失败：站点切换失败,2026-09-01 18:42:23
获取声誉辅助信息,向华章3,巴西,失败：站点切换失败,2026-09-01 18:46:19
获取声誉辅助信息,向华章3,墨西哥,失败：站点切换失败,2026-09-01 18:50:23
获取声誉辅助信息,向华章2,阿根廷,失败：站点切换失败,2026-09-01 18:42:23
获取声誉辅助信息,向华章2,巴西,失败：站点切换失败,2026-09-01 18:46:21
获取声誉辅助信息,向华章2,墨西哥,失败：站点切换失败,2026-09-01 18:50:25
获取声誉辅助信息,向子立4,阿根廷,失败：站点切换失败,2026-09-01 18:43:16
获取声誉辅助信息,向子立4,巴西,失败：站点切换失败,2026-09-01 18:47:11
获取声誉辅助信息,向子立4,墨西哥,失败：站点切换失败,2026-09-01 18:51:19
获取声誉辅助信息,向华章5,阿根廷,失败：站点切换失败,2026-09-01 18:43:32
获取声誉辅助信息,向华章5,巴西,失败：站点切换失败,2026-09-01 18:47:24
获取声誉辅助信息,向华章5,墨西哥,失败：站点切换失败,2026-09-01 18:51:17
获取声誉辅助信息,向华章4,阿根廷,失败：站点切换失败,2026-09-01 18:43:24
获取声誉辅助信息,向华章4,巴西,失败：站点切换失败,2026-09-01 18:47:16
获取声誉辅助信息,向华章4,墨西哥,失败：站点切换失败,2026-09-01 18:51:09
获取声誉辅助信息,向子立5,阿根廷,失败：站点切换失败,2026-09-01 18:44:00
获取声誉辅助信息,向子立5,巴西,失败：站点切换失败,2026-09-01 18:47:57
获取声誉辅助信息,向子立5,墨西哥,失败：站点切换失败,2026-09-01 18:52:11
