任务类型,店铺名,站点,状态,记录时间
获取声誉信息,春暖花开,巴西,失败：登录失效,2026-08-19 02:12:43
获取声誉信息,春暖花开,阿根廷,失败：登录失效,2026-08-19 02:12:53
获取声誉信息,腾,墨西哥,失败：登录失效,2026-08-19 02:11:19
获取声誉信息,腾,阿根廷,失败：登录失效,2026-08-19 02:11:29
获取声誉信息,马到成功,墨西哥,失败：登录失效,2026-08-19 02:37:47
获取声誉信息,马到成功,阿根廷,失败：登录失效,2026-08-19 02:37:57
获取声誉信息,招财猫,墨西哥,失败：登录失效,2026-08-19 02:53:26
获取声誉信息,招财猫,巴西,失败：登录失效,2026-08-19 02:53:36
获取声誉信息,招财猫,阿根廷,失败：登录失效,2026-08-19 02:53:36
获取声誉信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-19 03:21:08
获取声誉信息,钱程似锦2,巴西,失败：登录失效,2026-08-19 03:21:18
获取声誉信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-19 03:21:18
获取声誉信息,龙争虎斗,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在关闭中，请稍后操作'}",2026-08-19 06:39:10
获取声誉信息,张健3,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-19 06:39:20
获取声誉信息,张健3,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-19 06:39:20
获取声誉信息,张健3,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-19 06:39:20
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-19 04:41:39
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-19 04:41:39
