code,title,first_infraction_time,last_infraction_time,last_exec_time,last_submit_time,type,old_count
MLM1070665110,Nuevos Relojes Richard Mill 2025 Rm4004 De Moda,5/17/26,5/17/26,2026-06-26 20:35:32,,,1
MLM1070808016,Vaso Térmico Con Mango H2.0 De 40 Oz | Acero Aislado,5/5/26,5/5/26,2026-06-26 20:35:32,,,1
MLM1090049278,1 Vaso Térmico 32 Oz Edición Especial,5/5/26,5/5/26,2026-06-26 20:35:32,,,1
MLM1204511498,Varita Luminosa Oficial De Jeon Somi Edición Limitada,5/6/26,5/6/26,2026-06-26 20:35:32,,,1
MLM1367408292,Basic Phone Dual Analog Dual Standby 32mb/32ram Three Proof,5/8/26,5/8/26,2026-06-26 20:35:32,,,1
MLM1645851335,Realme Buds Air 5 Reducción De Ruido Baja Latencia Azul,1/20/26,1/20/26,2026-04-20 18:16:11,,,1
MLM1673061283,"Llavero De La Mascota Del Mundial 2026, Colgante De &c6",6/12/26,6/12/26,2026-06-30 17:01:28,,,1
MLM1703918175,Owala Freesip Termo De Acero Inoxidable 946 Ml,5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM1725189771,Ratón Mecánico For Juegos Con Cable,3/31/26,3/31/26,2026-04-20 18:16:11,,,1
MLM1744338591,Tarjeta Periférica De Tinta Rosa Bp,6/24/26,6/24/26,2026-06-30 17:01:28,,,1
MLM1797456899,"Álbum De Pegatinas De Las Estrellas Del Mundial 2026, 55",5/21/26,5/21/26,2026-06-30 17:01:31,,,1
MLM1799007427,Y Zcorsé Columbia Faja Corsette Victoriano Corset Con,5/22/26,5/22/26,2026-06-30 17:01:28,,,1
MLM1811272927,Funda De Cuero Con Ventana Lateral Samsung S26 Ultra Smart,5/31/26,5/31/26,2026-06-30 17:01:28,,,1
MLM2641211821,Bolso De Hombro Clásico De For Mujer,3/8/26,3/8/26,2026-06-20 02:42:15,,,1
MLM2641211853,Bj Billie Eilish Beanie Design Hat Nuevo + Mismo Collar,3/26/26,3/26/26,2026-06-28 11:43:10,,,2
MLM2641274057,Bolso Plegable De Gran Capacidad For Mujer,12/23/25,12/23/25,2026-06-20 02:42:32,,,1
MLM2654806805,Funda Magnética Mate Anticaídas For iPhone 17,3/26/26,3/26/26,2026-06-28 11:43:10,,,2
MLM2654815957,Funda Mate Con Soporte Magnético For iPhone 17 Pro Max,3/26/26,3/26/26,2026-06-28 11:43:10,,,2
MLM2661960953,Accesorios For Portátiles Ventilador Ajustable Blanco Perla,2/16/26,2/16/26,2026-06-20 02:42:24,,,1
